metric_id,display,meaning,templates,regimes,optional_regimes,concept_local,schedule,scope,unit_rule,selector,fallback,derivation,dependencies,quality_gate,role,gate_reason,implementation,adapter,registry_version,notes
gas_operating_revenues,Gas operating revenues,"Total operating revenues of the filing entity's gas utility operations, as filed.",interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 3Q Gas:quarter;Form 3Q Gas:ytd;Form 2:quarter;Form 2A:quarter,,OperatingRevenues,Form 2/2-A p.114 line 2; p.300-301; Form 3-Q,"filing entity, whole entity",iso4217:USD,undim,"where the form carries no monthly revenue schedule (Form 2-A has no p.299), use annual minus Q3 year-to-date and label it algebraic",q4_monthly_sum | q4_annual_minus_q3_ytd | sequential_ytd,,four filed/derived quarters reconcile to the filed annual total within $100 or 0.001%,headline,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
utility_operating_expenses,Utility operating expenses,Total utility operating expenses as filed on the income statement.,interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 3Q Gas:quarter;Form 3Q Gas:ytd;Form 2:quarter;Form 2A:quarter,,UtilityOperatingExpenses,Form 2/2-A p.114; Form 3-Q,"filing entity, whole entity",iso4217:USD,undim,,q4_minus_quarters | sequential_ytd,,quarterly sum reconciles to annual within $100/0.001%; revenue - expenses = NUOI within metric tolerance,headline,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
net_utility_operating_income,Net utility operating income,"The filed FERC accounting measure of operating income. Not EBITDA, not distributable cash flow, not a return on capital.",interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 3Q Gas:quarter;Form 3Q Gas:ytd;Form 2:quarter;Form 2A:quarter,,NetUtilityOperatingIncome,Form 2/2-A p.114; Form 3-Q,"filing entity, whole entity",iso4217:USD,undim,,q4_minus_quarters | sequential_ytd,,"identity revenue - expenses = NUOI; a source-backed rounding gap is a warning, not a repair",headline,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
operating_margin_pct,Operating margin,Net utility operating income divided by gas operating revenues on an identical scope and period.,interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 3Q Gas:quarter,,,,identical to both inputs; never mixes scopes,percent,derived_ratio,,"ratio(net_utility_operating_income, gas_operating_revenues)",net_utility_operating_income;gas_operating_revenues,"both inputs present, same entity, same exact interval, same scope; denominator non-zero and not itself under review",headline,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
net_income,Net income (loss),Entity net income including items outside pipeline operations.,interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 3Q Gas:quarter;Form 3Q Gas:ytd,,NetIncomeLoss,Form 2/2-A p.114-117; Form 3-Q,filing entity; includes items outside pipeline operations,iso4217:USD,undim,,,,canonical uniqueness only,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
gas_plant_in_service,Gas plant in service (period-end balance),Gross gas utility plant in service at the period end.,interstate_gas;gas_storage,Form 2:instant;Form 2A:instant;Form 3Q Gas:instant,,GasPlantInService,Form 2/2-A p.200-204; Form 3-Q,filing entity,iso4217:USD,undim,,,,balance movement is not capital spending and is never labelled capex,profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
transmission_plant,Transmission plant (period-end balance),Gross transmission-function plant at the period end.,interstate_gas,Form 2:instant;Form 2A:instant;Form 3Q Gas:instant,,TransmissionPlant,Form 2 p.204 line 55; Form 3-Q,transmission function only,iso4217:USD,undim,,,,never net against the TOTAL accumulated provision -- functions must match,profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
accum_prov_depreciation_gas_plant,Accumulated provision for depreciation of gas utility plant,Total accumulated depreciation provision for gas utility plant.,interstate_gas;gas_storage,Form 2:instant;Form 2A:instant,,AccumulatedProvisionForDepreciationOfGasUtilityPlant,Form 2/2-A p.219,"gas utility plant, filing entity",iso4217:USD,explicit-only:UtilityTypeAxis=GasUtilityMember,,,,minimal-dimension context selected; two-axis twin carries the same value,profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
accum_depreciation_transmission,Accumulated depreciation - transmission,Accumulated depreciation attributable to the transmission function.,interstate_gas,Form 2:instant;Form 2A:instant,,AccumulatedDepreciationTransmission,Form 2 p.219 line 26,transmission function only - narrower than the total provision,iso4217:USD,explicit-only:UtilityTypeAxis=GasUtilityMember,,,,must be <= the total accumulated provision for the same instant,profile,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
depreciation_expense,Depreciation expense,"Depreciation expense as filed, exact FERC label preserved.",interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 3Q Gas:quarter;Form 3Q Gas:ytd,,DepreciationExpense,Form 2/2-A p.336-338; Form 3-Q,filing entity,iso4217:USD,undim,,sequential_ytd,,canonical uniqueness only,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
operation_expense,Operation expense,"Operation expense as filed, exact FERC label preserved.",interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 3Q Gas:quarter;Form 3Q Gas:ytd,,OperationExpense,Form 2/2-A p.317-325; Form 3-Q,filing entity,iso4217:USD,undim,,sequential_ytd,,canonical uniqueness only,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
maintenance_expense,Maintenance expense,"Maintenance expense as filed, exact FERC label preserved.",interstate_gas;gas_storage,Form 2:annual;Form 2A:annual;Form 3Q Gas:quarter;Form 3Q Gas:ytd,,MaintenanceExpense,Form 2/2-A p.317-325; Form 3-Q,filing entity,iso4217:USD,undim,,sequential_ytd,,canonical uniqueness only,detail,,implemented,gas_xbrl,all-regime-2026-09-09-integrated2,
