"entity","facility","assertion_type","docket","accession","filed_date","class_type","document_title","retrievable","text_layer","evidence_note","confidence"
"Sabine Pass Liquefaction, LLC","Sabine Pass LNG Terminal (Cameron Parish, LA)","liquefaction_capacity","CP11-72","20120416-3033","2012-04-16","Order/Opinion::Commission Order/Opinion","Order granting Section 3 Authorization re Sabine Pass Liquefaction, LLC et al under CP11-72","yes","unknown","Authorizing order for Stages 1-2 (Trains 1-4). Order located via classTypes filter; NOT downloaded this pass, so the capacity figure and its units are not yet extracted. Do not populate a number from this row without reading the order body.","probable"
"Sabine Pass Liquefaction Expansion, LLC","Sabine Pass LNG Terminal (Cameron Parish, LA)","liquefaction_capacity","CP13-552","20150406-3031","2015-04-06","Order/Opinion::Commission Order/Opinion","Order Granting Authorization under Section 3 of the Natural Gas Act and Issuing Certificate re Sabine Pass Liquefaction Expansion, LLC et al under CP13-552","yes","unknown","Authorizing order for Stage 3 (Trains 5-6). Filed by Sabine Pass Liquefaction Expansion, LLC - a distinct filer name from Sabine Pass Liquefaction, LLC. Not downloaded; capacity not extracted.","probable"
"Sabine Pass LNG, L.P.","Sabine Pass LNG Terminal (Cameron Parish, LA)","regas_capacity","CP04-47","20041221-3094","2004-12-21","Order/Opinion::Commission Order/Opinion","Order granting authority under Section 3 of the Natural Gas Act and issuing certificates re Sabine Pass LNG, LP & Cheniere Sabine Pass Pipeline Co","yes","yes","DOWNLOADED AND PARSED (legacy binary .DOC inside a ZIP). Verbatim: 'The project will import, store, and vaporize an average of approximately 2.6 billion cubic feet per day (Bcf/d) of LNG, with a total plant capacity of 2.8 Bcf/d.' This is a REGASIFICATION figure for the Phase I import terminal. It must never be used as a liquefaction capacity.","verified"
"Sabine Pass LNG, L.P.","Sabine Pass LNG Terminal (Cameron Parish, LA)","storage_capacity","CP04-47","20041221-3094","2004-12-21","Order/Opinion::Commission Order/Opinion","Order granting authority under Section 3 of the NGA and issuing certificates re Sabine Pass LNG, LP (Phase I)","yes","yes","Verbatim: 'an LNG storage and vaporization facility (including three LNG storage tanks, vaporization units and associated piping and control equipment)'. Phase I gives a TANK COUNT (3), not a volume. Volumetric storage capacity is not stated in the parsed text and remains unresolved.","verified"
"Sabine Pass LNG, L.P.","Sabine Pass LNG Terminal (Cameron Parish, LA)","storage_capacity","CP05-396","20060615-3077","2006-06-15","Order/Opinion::Commission Order/Opinion","Order granting authority under Section 3 of the Natural Gas Act re Sabine LNG, LP (Phase II)","yes","unknown","Phase II expansion order - the route to the additional storage tanks and expanded send-out. Located, not downloaded.","probable"
"Sabine Pass LNG, L.P.","Sabine Pass LNG Terminal (Cameron Parish, LA)","material_order","CP04-47-001,CP05-396-001","20090529-3007","2009-05-29","Order/Opinion::Commission Order/Opinion","Order amending Section 3 Authorizations re Sabine Pass LNG, L.P.","yes","unknown","Amendment to the Phase I and Phase II Section 3 authorizations; must be applied before any regas/storage figure from 2004 or 2006 is treated as current.","probable"
"Sabine Pass Liquefaction, LLC","Sabine Pass LNG Terminal (Cameron Parish, LA)","status_requested","CP11-72","20110131-5063","2011-01-31","Application/Petition/Request::Certificate of Public Convenience and Necessity","Application of Sabine Pass Liquefaction, LLC and Sabine Pass LNG, L.P. For Authorization Under Section 3 of the Natural Gas Act (Application, Exhibits...)","yes","unknown","Filed jointly by the liquefaction and the import-terminal entity. Typed as 'Certificate of Public Convenience and Necessity', NOT as 'Request for Authorization under NGA Section 3' (that type returns 0 hits in this docket).","verified"
"Sabine Pass Liquefaction, LLC","Sabine Pass LNG Terminal (Cameron Parish, LA)","status_authorised","CP11-72","20160503-3027","2016-05-03","Order/Opinion::Delegated Order","Letter order granting Cheniere Energy, Inc's 4/29/16 request for Sabine Pass to commence service of Train 1 and associated facilities under CP11-72 et al.","yes","unknown","Train 1 in-service authorization. Note the filer named in the description is Cheniere Energy, Inc., not the asset entity - entity-name matching on descriptions will miss this row.","verified"
"Sabine Pass Liquefaction, LLC","Sabine Pass LNG Terminal (Cameron Parish, LA)","status_authorised","CP11-72","20161012-3036","2016-10-12","Order/Opinion::Delegated Order","Letter order granting Sabine Pass Liquefaction, LLC, and Sabine Pass LNG, LP's 9/16/16 request to commence service for liquefaction and export activities of Train 2 Facilities under CP11-72","yes","unknown","Train 2 in-service authorization.","verified"
"Sabine Pass Liquefaction, LLC","Sabine Pass LNG Terminal (Cameron Parish, LA)","status_authorised","CP11-72","20170321-3000","2017-03-21","Order/Opinion::Delegated Order","Letter order granting Sabine Pass Liquefaction, LLC's 3/20/17 request to commence service for liquefaction and export activities from Train 3 facilities Inside Battery Limits etc under CP11-72","yes","unknown","Train 3 in-service authorization.","verified"
"Sabine Pass Liquefaction, LLC","Sabine Pass LNG Terminal (Cameron Parish, LA)","status_authorised","CP11-72","20171005-3043","2017-10-05","Order/Opinion::Delegated Order","Letter order granting Sabine Pass Liquefaction, LLC's, et al September 26 and October 2, 2017 requests to commence service for liquefaction and export activities from the Train 4 Inside Battery Limits","yes","unknown","Train 4 in-service authorization.","verified"
"Sabine Pass Liquefaction Expansion, LLC","Sabine Pass LNG Terminal (Cameron Parish, LA)","status_authorised","CP13-552","20190312-3062","2019-03-12","Order/Opinion::Delegated Order","Letter order granting Sabine Pass Liquefaction Expansion, LLC's et al 3/06/19 filing of the request to commence service for liquefaction and export activities from Train 5 et al under CP13-552","yes","unknown","Train 5 in-service authorization. POST-2019 - direct evidence against a source gap.","verified"
