"entity","cid","docket","proceeding_type","accession","filed_date","issued_date","class_type","description","stage_evidence","confidence"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035","general_rate_case_application","20240830-5156","2024-08-30","2024-08-30","Application/Petition/Request::Tariff Filing","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 154.312: Transco RP24 - General Rate Case Filing to be effective 10/1/2024 under RP24-1035. Filing Type : 690","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035","order_accepting_and_suspending","20240930-3067","2024-09-30","2024-09-30","Order/Opinion::Commission Order/Opinion","Order Accepting and Suspending Tariff Records, Subject to Refund, and Establishing Hearing Procedures re Transcontinental Gas Pipe Line Company, LLC under RP24-1035. REFUND CLOCK START.","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-002","compliance_or_effective_tariff_filing","20241009-5177","2024-10-09","2024-10-09","Application/Petition/Request::Tariff Filing","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 154.203: Compliance Filing to update Southeastern Trail Rate in Docket No. RP24-1035-000 to be effective 10/1/2024","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-002","commission_order_or_opinion","20241023-3043","2024-10-23","2024-10-23","Order/Opinion::Delegated Order","Letter order accepting Transcontinental Gas Pipe Line Company, LLC's 10/09/2024 filing of a revised tariff record to reflect corrected rates etc. under RP24-1035","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-003","compliance_or_effective_tariff_filing","20250228-5093","2025-02-28","2025-02-28","Application/Petition/Request::Tariff Filing","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 154.203: Compliance Filing to Update Suspended Tariff Records in Docket No. RP24-1035 to be effective 3/1/2025","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-000,RP24-1035-003","commission_order_or_opinion","20250320-3103","2025-03-20","2025-03-20","Order/Opinion::Delegated Order","Letter order accepting and rejecting as moot, Transcontinental Gas Pipe Line Company, LLC's 02/28/2025 filing of revised tariff records to place into effect the rates suspended in the 09/30/2024 order. This is the end of the suspension period; motion rates go into effect subject to refund.","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035","rate_case_update","20250414-5145","2025-04-14","2025-04-14","Application/Petition/Request::Tariff Filing","Transcontinental Gas Pipe Line Company, LLC submits tariff filing per 154.311: RP24-1035-000 Rate Case Update Filing to be effective N/A under RP24-1035 Filing Type : 710","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-000,RP24-1035-004","settlement_agreement","20251126-3057","2025-11-26","2025-11-26","ALJ Issuance::Certification of Settlement","Certification By Presiding Judge of Uncontested Settlement re Transcontinental Gas Pipe Line Company, LLC under RP24-1035. Certifies the 10/29/2025 Stipulation and Agreement; the settlement filing itself was not separately located in the docket sweep.","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-000,RP24-1035-001","settlement_agreement","20251204-3036","2025-12-04","2025-12-04","ALJ Issuance::Report to the Commission","Order of Chief Judge Terminating Hearing and Settlement Judge Procedures re Transcontinental Gas Pipe Line Company, LLC under RP24-1035","sourced_legal_date","verified"
"Transcontinental Gas Pipe Line Company, LLC","C000654","RP24-1035-004,RP24-1035-000","settlement_approval_order","20251230-3015","2025-12-30","2025-12-30","Order/Opinion::Commission Order/Opinion","Letter order approving Transcontinental Gas Pipe Line Company, LLC's 10/29/2025 filing of a stipulation and agreement under RP24-1035. Chairman Swett and Commissioner LaCerte are not participating. NOTE: typed Commission Order/Opinion but worded as a letter order - class/type alone cannot separate the two.","sourced_legal_date","verified"
