source_doc,source_row,source_regime,source_text,disposition,metric_id,template,adapter,implementation,role,note
Day 3 metric decision matrix,IG-A-01,Interstate gas,Gas operating revenues (annual) Reported earnings Form 2 p.114,carried,gas_operating_revenues,interstate_gas/gas_storage,gas_xbrl,implemented,headline,
Day 3 metric decision matrix,IG-A-02,Interstate gas,Transportation / gas-revenue account breakdowns Reported earnings Form 2 p.300-series,carried,gas_operating_revenues,interstate_gas/gas_storage,gas_xbrl,implemented,headline,
Day 3 metric decision matrix,IG-A-03,Interstate gas,"Gas account - quantities received, delivered, lost & unaccounted-for Activity and use Form 2 p.520",merged,gas_losses_and_unaccounted_for,interstate_gas/gas_storage,gas_xbrl,implemented,detail,folded together with gas_account_balancing_total
Day 3 metric decision matrix,IG-A-04,Interstate gas,Gas of others received for transmission / deliveries of gas transported for others Activity and use Form 2 p.520,carried,gas_delivered_by_utility,interstate_gas/gas_storage,gas_xbrl,implemented,detail,
Day 3 metric decision matrix,IG-A-05,Interstate gas,Total volume of throughput (Q4) Activity and use Form 2 p.521-M1,carried,total_throughput,interstate_gas,gas_xbrl,implemented,headline,
Day 3 metric decision matrix,IG-A-06,Interstate gas,Gas plant in service Capital and physical profile Form 2 p.204,carried,gas_plant_in_service,interstate_gas/gas_storage,gas_xbrl,implemented,profile,
Day 3 metric decision matrix,IG-A-07,Interstate gas,Transmission plant / accumulated depreciation Capital and physical profile Form 2 p.204 / p.219,merged,transmission_plant,interstate_gas,gas_xbrl,implemented,profile,folded together with accum_prov_depreciation_gas_plant
Day 3 metric decision matrix,IG-A-08,Interstate gas,Transmission miles Capital and physical profile Form 2 p.514,carried,transmission_miles,interstate_gas,gas_xbrl,implemented,profile,
Day 3 metric decision matrix,IG-A-09,Interstate gas,Certificated compressor horsepower Capital and physical profile Form 2 p.508,carried,certificated_horsepower,interstate_gas,gas_xbrl,implemented,profile,
Day 3 metric decision matrix,IG-A-10,Interstate gas,Compressor fuel Activity and use Form 2 p.508,carried,compressor_fuel,interstate_gas,gas_xbrl,implemented,profile,
