source_doc,source_row,template,audited_outcome,disposition,successors,adapter,role,note
audit 2026-09-08 field_status_all_166,gas_storage::accum_prov_depreciation_gas_plant,gas_storage,implemented_retrieved_validated,carried,accum_prov_depreciation_gas_plant,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,gas_storage::cap_reported_capacity,gas_storage,implemented_retrieved_validated,carried,cap_reported_capacity,capacity,conditional,
audit 2026-09-08 field_status_all_166,gas_storage::deliveries_of_gas_transported_for_others,gas_storage,implemented_retrieved_validated,carried,deliveries_of_gas_transported_for_others,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::depreciation_expense,gas_storage,implemented_retrieved_validated,carried,depreciation_expense,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::gas_account_balancing_total,gas_storage,implemented_retrieved_validated,carried,gas_account_balancing_total,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::gas_delivered_by_utility,gas_storage,implemented_retrieved_validated,carried,gas_delivered_by_utility,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::gas_losses_and_unaccounted_for,gas_storage,implemented_retrieved_validated,carried,gas_losses_and_unaccounted_for,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::gas_of_others_received_for_transmission,gas_storage,implemented_retrieved_validated,carried,gas_of_others_received_for_transmission,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::gas_operating_revenues,gas_storage,implemented_retrieved_validated,carried,gas_operating_revenues,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,gas_storage::gas_plant_in_service,gas_storage,implemented_retrieved_validated,carried,gas_plant_in_service,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,gas_storage::gas_received_by_utility,gas_storage,implemented_retrieved_validated,carried,gas_received_by_utility,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::ioc_affiliate_share,gas_storage,implemented_retrieved_validated,carried,ioc_affiliate_share,ioc,detail,
audit 2026-09-08 field_status_all_166,gas_storage::ioc_contracted_storage_quantity,gas_storage,implemented_retrieved_validated,carried,ioc_contracted_storage_quantity,ioc,headline,
audit 2026-09-08 field_status_all_166,gas_storage::ioc_expiry_profile,gas_storage,implemented_retrieved_validated,carried,ioc_expiry_profile,ioc,headline,
audit 2026-09-08 field_status_all_166,gas_storage::ioc_firm_transport_mdq,gas_storage,implemented_retrieved_validated,carried,ioc_firm_transport_mdq,ioc,headline,
audit 2026-09-08 field_status_all_166,gas_storage::ioc_identity_coverage,gas_storage,implemented_retrieved_validated,carried,ioc_identity_coverage,ioc,detail,
audit 2026-09-08 field_status_all_166,gas_storage::ioc_mdq_change,gas_storage,implemented_retrieved_validated,carried,ioc_mdq_change,ioc,trend,
audit 2026-09-08 field_status_all_166,gas_storage::ioc_points,gas_storage,source_exists_interpretation_blocked,carried,ioc_points,ioc,detail,
audit 2026-09-08 field_status_all_166,gas_storage::ioc_top5_shipper_concentration,gas_storage,implemented_retrieved_validated,carried,ioc_top5_shipper_concentration,ioc,headline,
audit 2026-09-08 field_status_all_166,gas_storage::maintenance_expense,gas_storage,implemented_retrieved_validated,carried,maintenance_expense,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::max_day_withdrawal,gas_storage,implemented_retrieved_validated,carried,max_day_withdrawal,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,gas_storage::net_income,gas_storage,implemented_retrieved_validated,carried,net_income,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::net_utility_operating_income,gas_storage,implemented_retrieved_validated,carried,net_utility_operating_income,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,gas_storage::operating_margin_pct,gas_storage,implemented_retrieved_validated,carried,operating_margin_pct,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,gas_storage::operation_expense,gas_storage,implemented_retrieved_validated,carried,operation_expense,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::profile_capacity_narrative,gas_storage,source_exists_interpretation_blocked,carried,profile_capacity_narrative,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,gas_storage::profile_compressor_narrative,gas_storage,source_exists_interpretation_blocked,carried,profile_compressor_narrative,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,gas_storage::profile_diameter_narrative,gas_storage,source_exists_interpretation_blocked,carried,profile_diameter_narrative,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,gas_storage::profile_flow_statement_narrative,gas_storage,source_exists_interpretation_blocked,carried,profile_flow_statement_narrative,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,gas_storage::profile_miles_narrative,gas_storage,source_exists_interpretation_blocked,carried,profile_miles_narrative,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,gas_storage::profile_stations_narrative,gas_storage,source_exists_interpretation_blocked,carried,profile_stations_narrative,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,gas_storage::rate_case_status,gas_storage,implemented_retrieved_validated,carried,rate_case_status,elibrary_docs,headline,
audit 2026-09-08 field_status_all_166,gas_storage::rate_effective_date,gas_storage,implemented_retrieved_validated,carried,rate_effective_date,elibrary_docs,detail,
audit 2026-09-08 field_status_all_166,gas_storage::refund_exposure_window,gas_storage,implemented_retrieved_validated,carried,refund_exposure_window,elibrary_docs,conditional,
audit 2026-09-08 field_status_all_166,gas_storage::storage_capacity,gas_storage,implemented_retrieved_validated,carried,storage_capacity,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,gas_storage::storage_injections,gas_storage,implemented_retrieved_validated,carried,storage_injections,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::storage_injections_others,gas_storage,implemented_retrieved_validated,carried,storage_injections_others,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::storage_injections_own,gas_storage,implemented_retrieved_validated,carried,storage_injections_own,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::storage_withdrawals,gas_storage,implemented_retrieved_validated,carried,storage_withdrawals,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::storage_withdrawals_others,gas_storage,implemented_retrieved_validated,carried,storage_withdrawals_others,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::storage_withdrawals_own,gas_storage,implemented_retrieved_validated,carried,storage_withdrawals_own,gas_xbrl,detail,
audit 2026-09-08 field_status_all_166,gas_storage::utility_operating_expenses,gas_storage,implemented_retrieved_validated,carried,utility_operating_expenses,gas_xbrl,headline,
audit 2026-09-08 field_status_all_166,interstate_gas::accum_depreciation_transmission,interstate_gas,implemented_retrieved_validated,carried,accum_depreciation_transmission,gas_xbrl,profile,
audit 2026-09-08 field_status_all_166,interstate_gas::accum_prov_depreciation_gas_plant,interstate_gas,implemented_retrieved_validated,carried,accum_prov_depreciation_gas_plant,gas_xbrl,profile,
