Metric ID,Asset regime,Investor question,Metric,FERC source,Frequency,Grain/scope,Target treatment,Primary or supporting?,Reason,Redundant with,Display condition,Missing-data state,Source drill-through,Validation requirement
IG-A-01,Interstate gas,Reported earnings,Gas operating revenues (annual),Form 2 p.114,Annual,"Filing entity, whole entity",HEADLINE + CHART,Primary (annual anchor of the quarterly revenue series IG-Q-01),Top line; anchors the Q4 monthly-context derivation and the four-quarter reconciliation,None - same series as IG-Q-01,Always; FERC's exact label preserved ('Gas operating revenues' not 'total operating revenue'),NOT_YET_FILED until the annual return lands,Structured raw metric (filing / concept / context / p.114),Four-quarter sum = filed annual total within $100/0.001%
IG-A-02,Interstate gas,Reported earnings,Transportation / gas-revenue account breakdowns,Form 2 p.300-series,Annual,"Filing entity, by account / rate schedule / zone",DRILL_DOWN,Supporting,Explains revenue composition beneath the headline; never a substitute for it,Subsumed by IG-A-01 for headline purposes,Only with the rendered schedule label and dimensions shown; never presented as a total,NOT_YET_FILED / FILER_BLANK per line,Structured raw metric with dimensions displayed,A breakdown row must never be described as total gas operating revenue or a zone total without dimensional proof
IG-A-03,Interstate gas,Activity and use,"Gas account - quantities received, delivered, lost & unaccounted-for",Form 2 p.520,Annual (+ quarterly in 3-Q),"System, every measurement point",DRILL_DOWN,Supporting (loss rate is the interpretive value; receipts/deliveries are reconciliation),System-account volume trend and L&U loss rate; counts gas at every measurement point so not comparable with peak-day or contract figures,Overlaps IG-A-04 (transport components sit inside it),L&U shown with matched denominator and sign convention; receipts/deliveries relegated to QA panel,NOT_YET_FILED,Structured raw metric (typed SystemNameAxis row - the dimension labels the system total),Receipt-side total equals delivery-side balancing total
IG-A-04,Interstate gas,Activity and use,Gas of others received for transmission / deliveries of gas transported for others,Form 2 p.520,Annual (+ quarterly in 3-Q),System - receipt and delivery sides separately,DRILL_DOWN + CHART,Supporting (annual anchor and cross-check for the quarterly throughput series),The annual third-party transportation volume; the cleanest annual activity anchor,Complements (not duplicates) IG-Q-04 quarterly throughput,Receipt and delivery sides always labelled as such - the labels are easily paraphrased wrongly (verified on Transco and TGP),NOT_YET_FILED,Structured raw metric,Component/side labels must match the exact p.520 line
IG-A-05,Interstate gas,Activity and use,Total volume of throughput (Q4),Form 2 p.521-M1,Quarterly figure inside the annual form,System,CHART,Supporting (the Q4 point of the quarterly throughput series),Completes the four-quarter volume series; column header reads 'for the Quarter',Part of IG-Q-04's series,Q4 must use TotalVolumeOfThroughput never Forwardhaul (backhaul is material for many filers); where the filed TOTAL line is blank the point stays missing,FILER_BLANK where the filed total line is blank (Transco 2026 Q1 precedent),Structured raw metric,Total = forwardhaul + backhaul where all three are filed
IG-A-06,Interstate gas,Capital and physical profile,Gas plant in service,Form 2 p.204,"Annual, point-in-time",Filing entity,DRILL_DOWN + CHART,Supporting,Scale of invested capital; balance movement includes retirements/transfers - it is not capex,None,Labelled 'period-end balance'; movement never labelled capex or growth-quality evidence,NOT_YET_FILED,Structured raw metric,Balance continuity check (decreases legitimate - warn only)
IG-A-07,Interstate gas,Capital and physical profile,Transmission plant / accumulated depreciation,Form 2 p.204 / p.219,"Annual, point-in-time",Filing entity (accum dep: gas utility member),DRILL_DOWN,Supporting,Net investment and asset-age context,None,Accumulated depreciation requires the explicit UtilityTypeAxis=GasUtilityMember selector (minimal-dimension context - proven on Transco),NOT_YET_FILED,Structured raw metric with dimension selector shown,Transmission accum dep <= total accumulated provision for the same year
IG-A-08,Interstate gas,Capital and physical profile,Transmission miles,Form 2 p.514,"Annual, point-in-time","System, by state and by ownership/operation cut",DRILL_DOWN,Supporting (physical profile),Physical scale; published as two overlapping cuts of one total - summing both double-counts,None,Total via the filed aggregate rows (OPERATED + NOT OPERATED) or their validated sum; overlapping cuts never added,MIGRATED_HISTORY_LIMITATION on pre-2021 history (restored via filed_aggregate_sum in the Transco reference),Structured raw or derived metric (filed_aggregate_sum lineage),Aggregate-row sum equals detail-row sum within 0.15 mi
IG-A-09,Interstate gas,Capital and physical profile,Certificated compressor horsepower,Form 2 p.508,Annual,"System, by station",DRILL_DOWN,Supporting (physical profile),Installed compression scale; explicitly not a capacity denominator across systems,None,Permanent unit warning: XBRL unit filed as utr:MW; the rendered schedule column is horsepower,MIGRATED_HISTORY_LIMITATION on pre-2021 totals (TOTAL row / subtotal_sum),Structured raw or derived metric (typed-label TOTAL row or subtotal_sum lineage),Subtotal sum equals detail sum exactly; unit warning always attached
IG-A-10,Interstate gas,Activity and use,Compressor fuel,Form 2 p.508,Annual,"System, by station",DRILL_DOWN,Supporting,Operational fuel use; economic reading depends on the tariff recovery mechanism; derived fuel intensity stays gated until a scope-compatible denominator is proven per filer,None,Station subtotals and totals never summed together; the derived intensity ratio is GATED separately,MIGRATED_HISTORY_LIMITATION on pre-2021 totals,Structured raw or derived metric (subtotal_sum lineage),Subtotal sum equals detail sum exactly
