Asset regime,Metric/source,Raw source currently retrieved?,Stored in database?,Correct canonical metric exists?,Currently displayed?,Current problem,Target treatment,Work required,Monday priority
Interstate gas,Form 2 / 2-A annual XBRL instances,YES,YES (209 Form 2 + 82 Form 2-A filings; facts in form_facts),PARTIAL,YES,"Ingestion keeps a curated ~80-concept whitelist extracted by regex, not a namespace-aware parse with a registry: no taxonomy labels, no source-fact identity, no per-metric selector rules; display picks 'latest value per concept' with an ad-hoc dimension filter",HEADLINE,Generalise the Transco reference parser + executable registry across the Form 2/2-A fleet; keep the raw layer complete per filing,Phase 1
Interstate gas,Gas operating revenues (annual),YES,YES (OperatingRevenues; 2297 facts),PARTIAL,YES (latest-value card + trends),Annual value only; no quarterly series to anchor; label not asserted against the taxonomy,HEADLINE,Registry rule + quarterly series join,Phase 1
Interstate gas,Utility operating expenses / net utility operating income / net income (gas),PARTIAL (instances on disk contain them; extraction whitelist omits the concepts),NO,NO,NO,"UtilityOperatingExpenses, NetUtilityOperatingIncome and NetIncomeLoss are not in the ingestion whitelist - gas operating margin cannot be computed from the current store",HEADLINE,Extend extraction to the income-statement set; re-extract from already-downloaded instances where cached; registry rules,Phase 1
Interstate gas,Form 3-Q Gas (quarterly returns),NO,NO (zero 3-Q filings in form_filings),NO,NO,The quarterly layer - Day 2's largest addition - is entirely absent from production,HEADLINE,Ingest Form 3-Q for the 47 Form 2/2-A filers; period rules (85-95d; explicit Q1 rule; prior-year context exclusion),Phase 1
Interstate gas,Q4 derivations (revenue from Form 2 monthly contexts; opex/NUOI = annual - Q1-Q3; Q4 throughput from p.521-M1),NO (monthly contexts not extracted),NO,NO,NO,No derivation layer exists; without it every quarterly series has a hole at Q4,HEADLINE,Implement registry-declared derivations with lineage edges (per the Transco reference: 40/40 quarters; identity within $1),Phase 1
Interstate gas,Gas account (p.520) system totals,YES,YES (typed SystemNameAxis rows stored with dimensions text),PARTIAL,YES,Displayed as the leading 'throughput' headline because no quarterly series exists; SystemNameAxis admission rule is hard-coded in two display queries rather than a registry,DRILL_DOWN (annual anchor + cross-check once the quarterly series lands),Registry selector (typed-system); relabel display,Phase 1
Interstate gas,Quarterly total throughput series,NO (3-Q absent),NO,NO,NO,No quarterly volume series; Q4 bridge and backhaul-compatibility flag unimplemented,HEADLINE,3-Q ingestion + Q4 bridge with backhaul_present flag (Total = Forwardhaul + Backhaul verified on 22 filers),Phase 1
Interstate gas,Peak-day deliveries and dates (p.518),YES,YES,PARTIAL,YES (asset-detail peak panel),"Display dedups by concept+kind and can pick a delivered-to-axis member: TGP files negative DeliveredToInterstatePipelines members (-10,470 single-day) that the current query does not exclude; review-flag machinery absent",DRILL_DOWN,Peak-axis selector excluding delivered-to members; date normalisation + window check + review states,Phase 1
Interstate gas,Transmission miles (p.514),YES,YES,PARTIAL,YES (segments list),No aggregate-row selector; overlapping ownership/state cuts could be summed by a consumer; no derived total with lineage,DRILL_DOWN,filed_aggregate_sum selector + 0.15 mi check,Phase 1
Interstate gas,Compressor stations (p.508: HP / units / fuel),YES,YES (per-station rows + label companions stored),PARTIAL,YES (segments; HP unit hand-corrected to hp in code),No TOTAL-row / subtotal_sum selector; totals not computed; unit warning not carried as data,DRILL_DOWN,typed-label TOTAL + subtotal_sum selectors; unit-warning flag on every HP value,Phase 1
Interstate gas,Storage capacity / max-day withdrawal (p.512-513),YES,YES,PARTIAL,YES (in headline concepts / segments),No migrated-era unit note; not organised as a storage module,DRILL_DOWN (storage-module HEADLINE where material),Registry rules + storage-module grouping,Phase 1
Interstate gas,Auxiliary peaking facilities (p.519),YES,YES,PARTIAL,YES (segments),facility_sum derived total not computed; facility-type companion shown raw,DRILL_DOWN,facility_sum derivation with lineage,Phase 2
Interstate gas,Negotiated- / discounted-rate volumes (p.313),YES,YES,PARTIAL,NO,Stored but not displayed anywhere,DRILL_DOWN,Add to commercial drill-down with volume-only wording,Phase 2
Interstate gas,Accumulated depreciation (gas / transmission),YES,YES (474 facts),PARTIAL,NO,Explicit-dimension member selection (UtilityTypeAxis=GasUtilityMember minimal-context rule) unimplemented,DRILL_DOWN,Registry explicit-only selector,Phase 2
Interstate gas,Form 549B Index of Customers (attachments),PARTIAL (filing metadata stored - Transco 18 / TGP 17 IOC filings; TAB attachments not downloaded),NO,NO,NO,The commercial book - firm MDQ / concentration / roll-off / negotiated / affiliate - has no data behind it; only the filing events exist,HEADLINE,Attachment download (accession-led; route proven in scripts/fetch_elibrary_doc.py) + header field [5]/[4] rules + D/P record parsing,Phase 1
Interstate gas,IOC derived metrics (MDQ change / concentration / roll-off buckets / continuation),NO,NO,NO,NO,Nothing derivable until IOC attachments land,HEADLINE,Derivation layer per the final IOC methodology (P = 2x D assertion; snapshot-date rule; revision handling),Phase 1
Interstate gas,549B Capacity Report,PARTIAL (metadata; 'Peak Day Capacity Report' documentType in store; PDFs not parsed),NO,NO,NO,Filer-defined definitions; parsing not built,GATED,Defer; classify per-filer definitions before any display,Deferred (post-Phase 4)
Interstate gas,Peak-day utilisation,NO,NO,NO,NO,Denominator gate (CR-03) unresolvable until Capacity Report parsing and per-filer compatibility exist,GATED,Deferred behind CR-01,Deferred
Interstate gas / liquids,Rate-case stage and clock,YES (RP/PR/IS/OR/ER/EL dockets swept),YES,PARTIAL,YES (rate-cases view with stage inference + refund flag),Stage inference exists but the clock is not keyed to rate-effective dates; moratorium / next-case deadline not captured (settlement PDFs unparsed),HEADLINE,Effective-date extraction from order metadata; hand-curated moratorium dates with citation until parsing exists,Phase 1
Interstate gas / liquids,Subject-to-refund window,PARTIAL (suspension-language boolean),YES,PARTIAL,YES (flag on rate case),"Boolean only - no dated window, no history of past windows",EVENT_ALERT,Window start/end dating from suspension + effective events; stored as history,Phase 1
Interstate gas / liquids,Settlement economic terms,PARTIAL (settlement filings surfaced by the material filter),NO,NO,NO,Terms sit inside PDFs,GATED,Hand-curate cited values with exact stated-use labels; no parsing commitment,Deferred
Gas / liquids,eTariff records,NO,NO,NO,NO,Retrieval route proven in methodology tests (TariffExport XML) but not productionised; numeric rates unparsed and legally non-conclusive,GATED,Defer; if built show record titles/status only,Deferred
Interstate gas,Form 576 (§260.9 service interruption),YES (route: documentType in the closed vocabulary; zero instances in corpus),YES (would store via normal sweep),NOT APPLICABLE (event not metric),PARTIAL (rarity rule would surface it),Not an explicit surfaced type - relies on the rarity tier,EVENT_ALERT,Add documentType to SURFACE_TYPES (one line); zero-false-positive test,Phase 1 (trivial)
Interstate gas,Form 577 (replacement of deteriorated facilities),NOT ESTABLISHED,NO,NO,NO,No matching documentType found in the stored corpus this pass; the draft template references it but the automated route is unverified,EVENT_ALERT (if a route exists),Verify against FERC's closed GetClassTypes vocabulary before building; otherwise record as no-route like Form 592,Phase 2 (investigate first)
Liquids,Form 6 annual XBRL,YES,YES (145 filings),PARTIAL,YES,Same whitelist/regex limits as Form 2; no NCOI / expenses detail / net income / gross additions concepts,HEADLINE,Extend concept set + registry; re-extract cached instances,Phase 2
